,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,region1,region2,region_1_mean,region_1_std,region_2_mean,region_2_std,p-val_fdr_corrected,p-val_bonf_corrected,p-val_holm_corrected
T-test,-41.27253391832843,117,two-sided,0.0,[-0.05 -0.05],3.5216615137729366,7.455e+67,1.0,S1R-Brainstem_ODI_pre,S1R-Brainstem_ODI_post,0.1679923111336948,0.01599022826834185,0.22026009120735562,0.013458708994065675,0.0,0.0,0.0
T-test,-6.129580730729971,117,two-sided,0.0,[-0. -0.],0.041170532308323404,8.714e+05,0.0728282327220359,S1R-CaudR_NDI_pre,S1R-CaudR_NDI_post,0.18524596899249535,0.029428245213578817,0.1864393247627578,0.028285636250007636,0.0,0.0,0.0
T-test,-16.93178460555666,117,two-sided,0.0,[-0.03 -0.02],0.9808700303295368,9.709e+29,1.0,S1R-CaudR_ODI_pre,S1R-CaudR_ODI_post,0.20446199552843114,0.028371364886133604,0.23112744732331264,0.025702981024836674,0.0,0.0,0.0
T-test,-4.379358042792292,117,two-sided,2.6e-05,[-0. -0.],0.017036739598333166,606.772,0.053868372485994465,S1R-LentiR_NDI_pre,S1R-LentiR_NDI_post,0.20044572657302936,0.027216693966993902,0.20090677019914074,0.026674208574829578,3.496551724137931e-05,0.002028,0.0005459999999999999
T-test,-44.17197677365147,117,two-sided,0.0,[-0.04 -0.04],2.4077216341384005,1.215e+71,1.0,S1R-LentiR_ODI_pre,S1R-LentiR_ODI_post,0.20686972686228897,0.019074596766944715,0.24973064494308897,0.016265651667307004,0.0,0.0,0.0
T-test,1.9967557485293583,117,two-sided,0.048173,[0. 0.],0.007660598206281355,0.694,0.050780683374237856,S1R-M1R_NDI_pre,S1R-M1R_NDI_post,0.17759958887691465,0.026652018001406718,0.17739568733563474,0.026354945531243863,0.05525726470588235,1.0,0.529903
T-test,-34.51915940128667,117,two-sided,0.0,[-0.04 -0.03],1.675049213277755,3.652e+59,1.0,S1R-M1R_ODI_pre,S1R-M1R_ODI_post,0.3067907886247944,0.023868147931261012,0.3437787469009579,0.019931163800968123,0.0,0.0,0.0
T-test,-3.1656377378180878,117,two-sided,0.001973,[-0. -0.],0.01467586915136695,11.248,0.05286882636383773,S1R-ParacentralR_NDI_pre,S1R-ParacentralR_NDI_post,0.1843304805631349,0.028135928884628812,0.18473991518369692,0.027419505326625588,0.0023675999999999997,0.153894,0.027622
T-test,3.273360616449373,117,two-sided,0.001398,[0.   0.01],0.21551417454433103,15.363,0.6412844091621647,S1R-ParacentralR_ODI_pre,S1R-ParacentralR_ODI_post,0.34246679271302083,0.04590430878293034,0.333615268999126,0.035184724522020316,0.0017038125,0.109044,0.02097
T-test,-1.3009919234156806,117,two-sided,0.195818,[-0.  0.],0.004798889994636489,0.232,0.05030627081904457,S1R-SubthalR_NDI_pre,S1R-SubthalR_NDI_post,0.2512376118238549,0.02705456721174127,0.2513673413321212,0.026781622972128036,0.21213616666666665,1.0,1.0
T-test,-58.74532400963638,117,two-sided,0.0,[-0.07 -0.07],3.7144730481483332,6.548e+84,1.0,S1R-SubthalR_ODI_pre,S1R-SubthalR_ODI_post,0.15563921115399562,0.01924790662285593,0.22574011209086853,0.01832522563855437,0.0,0.0,0.0
T-test,-5.013280410048506,117,two-sided,2e-06,[-0. -0.],0.049306018910940747,7059.717,0.08290438868014934,S1R-ThalfusR_NDI_pre,S1R-ThalfusR_NDI_post,0.22053121838096773,0.02810704715310806,0.22188055293243383,0.02636577220565594,3.1199999999999998e-06,0.000156,5.8e-05
T-test,-12.122419873253914,117,two-sided,0.0,[-0.02 -0.01],0.8333262200390941,2.117e+19,1.0,S1R-ThalfusR_ODI_pre,S1R-ThalfusR_ODI_post,0.19633132295063527,0.02250696458965404,0.21292629001565708,0.016729021486174323,0.0,0.0,0.0
