,tract,metric,uncorrected_p,corrected_p_bonf,corrected_p_fdr_bh,corrected_p_holm
213,S1L-ThalfusL,ODI_post,9e-05,0.02376,0.0001552941176470588,0.01008
214,S1L-ThalfusL,ODI_pre,1e-06,0.00026399999999999997,4e-06,0.000222
215,S1L-ThalfusL,RD,8e-06,0.0021119999999999997,1.9555555555555554e-05,0.001272
216,S1R-Brainstem,AD,0.000125,0.033,0.00021019108280254776,0.0135
217,S1R-Brainstem,FA,0.630174,1.0,0.6398689846153847,1.0
218,S1R-Brainstem,MD,0.000255,0.06732,0.00041555555555555557,0.026265000000000004
219,S1R-Brainstem,NDI_post,0.009336,1.0,0.0112032,0.42012000000000005
220,S1R-Brainstem,NDI_pre,0.012301,1.0,0.014562618834080717,0.5166419999999999
221,S1R-Brainstem,ODI_post,0.00067,0.17688,0.001005,0.05963
222,S1R-Brainstem,ODI_pre,0.000787,0.207768,0.00116723595505618,0.068469
223,S1R-Brainstem,RD,0.002484,0.655776,0.003214588235294118,0.151524
224,S1R-CaudR,AD,0.0,0.0,0.0,0.0
225,S1R-CaudR,FA,0.79142,1.0,0.7974613740458015,1.0
226,S1R-CaudR,MD,3.2e-05,0.008447999999999999,6.211764705882353e-05,0.004128
227,S1R-CaudR,NDI_post,6.6e-05,0.017424000000000002,0.00012100000000000001,0.008052
228,S1R-CaudR,NDI_pre,5.5e-05,0.01452,0.00010371428571428573,0.006875
229,S1R-CaudR,ODI_post,6e-06,0.0015840000000000001,1.5085714285714286e-05,0.0009660000000000001
230,S1R-CaudR,ODI_pre,0.0,0.0,0.0,0.0
231,S1R-CaudR,RD,0.00166,0.43824,0.002235918367346939,0.11454
232,S1R-LentiR,AD,0.0,0.0,0.0,0.0
233,S1R-LentiR,FA,6.8e-05,0.017952,0.00012295890410958906,0.00816
234,S1R-LentiR,MD,0.0,0.0,0.0,0.0
235,S1R-LentiR,NDI_post,1e-06,0.00026399999999999997,4e-06,0.000222
236,S1R-LentiR,NDI_pre,1e-06,0.00026399999999999997,4e-06,0.000222
237,S1R-LentiR,ODI_post,7.4e-05,0.019535999999999998,0.0001293774834437086,0.008468
238,S1R-LentiR,ODI_pre,1e-06,0.00026399999999999997,4e-06,0.000222
239,S1R-LentiR,RD,1e-06,0.00026399999999999997,4e-06,0.000222
240,S1R-M1R,AD,0.0,0.0,0.0,0.0
241,S1R-M1R,FA,9e-06,0.002376,2.1214285714285713e-05,0.001404
242,S1R-M1R,MD,0.0,0.0,0.0,0.0
243,S1R-M1R,NDI_post,0.0,0.0,0.0,0.0
244,S1R-M1R,NDI_pre,0.0,0.0,0.0,0.0
245,S1R-M1R,ODI_post,0.007006,1.0,0.00852342857142857,0.33628800000000003
246,S1R-M1R,ODI_pre,0.001494,0.39441600000000004,0.002022646153846154,0.104725
247,S1R-M1R,RD,0.0,0.0,0.0,0.0
248,S1R-ParacentralR,AD,0.001002,0.26452800000000004,0.0014455081967213114,0.082164
249,S1R-ParacentralR,FA,0.002131,0.562584,0.00282612,0.140646
250,S1R-ParacentralR,MD,8e-06,0.0021119999999999997,1.9555555555555554e-05,0.001272
251,S1R-ParacentralR,NDI_post,1e-06,0.00026399999999999997,4e-06,0.000222
252,S1R-ParacentralR,NDI_pre,1e-06,0.00026399999999999997,4e-06,0.000222
253,S1R-ParacentralR,ODI_post,0.617786,1.0,0.6297123706563706,1.0
254,S1R-ParacentralR,ODI_pre,0.947885,1.0,0.947885,1.0
255,S1R-ParacentralR,RD,3e-06,0.0007920000000000001,8.608695652173913e-06,0.000543
256,S1R-ThalfusR,AD,0.0,0.0,0.0,0.0
257,S1R-ThalfusR,FA,0.085654,1.0,0.09461362343096234,1.0
258,S1R-ThalfusR,MD,1e-06,0.00026399999999999997,4e-06,0.000222
259,S1R-ThalfusR,NDI_post,3e-06,0.0007920000000000001,8.608695652173913e-06,0.000543
260,S1R-ThalfusR,NDI_pre,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
261,S1R-ThalfusR,ODI_post,0.0,0.0,0.0,0.0
262,S1R-ThalfusR,ODI_pre,0.0,0.0,0.0,0.0
263,S1R-ThalfusR,RD,1.4e-05,0.003696,3.1322033898305084e-05,0.002058
